Country,League,Season,Date,Time,Home,Away,HG,AG,Res
Brazil,Serie A,2024,2024-10-18,23:00,Atletico GO,Cuiaba,0,0,D
Brazil,Serie A,2024,2024-10-19,00:00,Botafogo RJ,Criciuma,1,1,D
Brazil,Serie A,2024,2024-10-19,01:30,Cruzeiro,Bahia,1,1,D
Brazil,Serie A,2024,2024-10-19,20:00,Internacional,Gremio,1,0,H
Brazil,Serie A,2024,2024-10-19,20:00,Vitoria,Bragantino,1,0,H
Brazil,Serie A,2024,2024-10-21,00:00,Juventude,Palmeiras,3,5,A
Brazil,Serie A,2024,2024-10-22,23:30,Fluminense,Athletico-PR,1,0,H
Brazil,Serie A,2024,2024-10-24,23:00,Vasco,Cuiaba,1,0,H
Brazil,Serie A,2024,2024-10-26,20:30,Flamengo RJ,Juventude,4,2,H
Brazil,Serie A,2024,2024-10-26,20:30,Gremio,Atletico GO,3,1,H
Brazil,Serie A,2024,2024-10-26,20:30,Palmeiras,Fortaleza,2,2,D
Brazil,Serie A,2024,2024-10-26,20:30,Vitoria,Fluminense,2,1,H
Brazil,Serie A,2024,2024-10-26,22:30,Athletico-PR,Cruzeiro,3,0,H
Brazil,Serie A,2024,2024-10-26,23:00,Atletico-MG,Internacional,1,3,A
Brazil,Serie A,2024,2024-10-26,23:00,Bragantino,Botafogo RJ,0,1,A
Brazil,Serie A,2024,2024-10-27,01:00,Criciuma,Sao Paulo,1,1,D
Brazil,Serie A,2024,2024-10-28,22:00,Cuiaba,Corinthians,0,1,A
Brazil,Serie A,2024,2024-10-29,00:00,Vasco,Bahia,3,2,H
Brazil,Serie A,2024,2024-10-30,22:00,Internacional,Flamengo RJ,1,1,D
Brazil,Serie A,2024,2024-11-02,00:00,Fluminense,Gremio,2,2,D
Brazil,Serie A,2024,2024-11-02,19:00,Bragantino,Cuiaba,0,0,D
Brazil,Serie A,2024,2024-11-02,21:30,Athletico-PR,Vitoria,1,2,A
Brazil,Serie A,2024,2024-11-02,21:30,Juventude,Fortaleza,0,3,A
Brazil,Serie A,2024,2024-11-04,23:00,Corinthians,Palmeiras,2,0,H
Brazil,Serie A,2024,2024-11-06,00:30,Bahia,Sao Paulo,0,3,A
Brazil,Serie A,2024,2024-11-06,00:30,Botafogo RJ,Vasco,3,0,H
Brazil,Serie A,2024,2024-11-06,00:30,Internacional,Criciuma,2,0,H
Brazil,Serie A,2024,2024-11-07,00:00,Atletico GO,Atletico-MG,1,0,H
Brazil,Serie A,2024,2024-11-07,00:00,Cruzeiro,Flamengo RJ,0,1,A
Brazil,Serie A,2024,2024-11-08,22:00,Internacional,Fluminense,2,0,H
